Index,Manufacturer Part Number,Manufacturer Name,Description,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1
1,N-48X,Triad Magnetics,XFRMR ISOL 115V TO 115V 15VA,1,1,Box,237-1856-ND,22.25,$22.25,1
2,ALS80A242KF400,KEMET,CAP ALUM 2400UF 20% 400V SCREW,4,4,Bulk,ALS80A242KF400-ND,55.41,$221.64,1
3,1N4005-TP,Micro Commercial Co,DIODE GEN PURP 600V 1A DO41,10,10,Cut Tape (CT),1N4005-TPMSCT-ND,0.173,$1.73,1
4,VS-400U160D,Vishay General Semiconductor - Diodes Division,DIODE GP 1.6KV 400A DO205AB,1,1,Bulk,VS-400U160DGI-ND,85.24,$85.24,1
5,VS-ST330C12C0,Vishay General Semiconductor - Diodes Division,SCR 1.2KV 1420A TO200AB,1,1,Bulk,ST330C12C0-ND,138.1,$138.10,1
6,CF12JT470K,Stackpole Electronics Inc,RES 470K OHM 5% 1/2W AXIAL,1,1,Cut Tape (CT),CF12JT470KCT-ND,0.16,$0.16,1
7,ECW-FD2W225J,Panasonic Electronic Components,CAP FILM 2.2UF 5% 450VDC RADIAL,2,2,Bulk,PCF1609-ND,1.09,$2.18,1
8,703W-00/04,Qualtek,PWR ENT RCPT IEC320-C14 PANEL QC,1,1,Bulk,Q212-ND,1.56,$1.56,1
9,RA1113112R,E-Switch,SWITCH ROCKER SPST 10A 125V,1,1,Bulk,EG5619-ND,1,$1.00,1
10,LRA32H2FBBNN,ZF Electronics,SWITCH ROCKER DPST 10A 125V,1,1,Bulk,CH770-ND,2.67,$2.67,1
11,232,Keystone Electronics,"BATT CONNECTOR SNAP 9V 4"" LEADS",1,1,Bulk,36-232-ND,0.9,$0.90,1
12,CF14JT200R,Stackpole Electronics Inc,RES 200 OHM 5% 1/4W AXIAL,10,10,Cut Tape (CT),CF14JT200RCT-ND,0.055,$0.55,1
13,CF14JT1M00,Stackpole Electronics Inc,RES 1M OHM 5% 1/4W AXIAL,10,10,Cut Tape (CT),CF14JT1M00CT-ND,0.055,$0.55,1
14,CF14JT10K0,Stackpole Electronics Inc,RES 10K OHM 5% 1/4W AXIAL,10,10,Cut Tape (CT),CF14JT10K0CT-ND,0.055,$0.55,1
15,CF14JT4K70,Stackpole Electronics Inc,RES 4.7K OHM 5% 1/4W AXIAL,10,10,Cut Tape (CT),CF14JT4K70CT-ND,0.055,$0.55,1
16,ECA-1JM100LW,Panasonic Electronic Components,CAP ALUM 10UF 20% 63V RADIAL TH,1,1,Cut Tape (CT),P19535CT-ND,0.22,$0.22,1
17,LM358P,Texas Instruments,IC OPAMP GP 2 CIRCUIT 8DIP,1,1,Tube,296-1395-5-ND,0.36,$0.36,1
18,LM7805CT/NOPB,Texas Instruments,IC REG LINEAR 5V 1A TO220-3,1,1,Tube,296-47192-ND,2.72,$2.72,1
19,N6L30T0N-103-3030,Amphenol Piher Sensing Systems,TRIMMER 10K OHM 0.1W PC PIN TOP,1,1,Bulk,1993-N6L30T0N-103-3030-ND,0.72,$0.72,1
20,C320C104K5R5TA,KEMET,CAP CER 0.1UF 50V X7R RADIAL,2,2,Bulk,399-4264-ND,0.35,$0.70,1
21,MT4118-HR-A,Marktech Optoelectronics,LED RED DIFFUSED 5MM ROUND T/H,1,1,Bulk,1125-1188-ND,0.47,$0.47,1
22,MT2118-G-A,Marktech Optoelectronics,LED GREEN DIFFUSED 5MM ROUND T/H,1,1,Bulk,1125-1184-ND,0.45,$0.45,1
